target_image,pair_image,audio,stimulus_type,condition,sentence_template,target_onset,group,speaker,expt_practice,audio_duration
jumprope.jpg,house.jpg,F_2_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4566
radish.jpg,bread.jpg,F_3_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,5560
pick.jpg,bride.jpg,F_4_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,3943
pencilsharpener.jpg,bird.jpg,F_5_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4578
tripod.jpg,ear.jpg,F_6_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4800
seahorse.jpg,paper.jpg,F_7_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4705
ladle.jpg,butter.jpg,F_8_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4241
firehydrant.jpg,doctor.jpg,F_9_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4528
kangaroo.jpg,wood.jpg,F_10_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,5093
crib.jpg,road.jpg,F_11_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4505
leopard.jpg,priest.jpg,F_12_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4528
ladybug.jpg,suitcase.jpg,F_13_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4154
drill.jpg,neck.jpg,F_14_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4042
brush.jpg,rose.jpg,F_15_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,4578
walrus.jpg,net.jpg,F_16_LFD_N_sk.wav,filler,LFD,original,NA,groupB,native,NA,3656
wine.jpg,penguin.jpg,F_1_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2521
hat.jpg,peach.jpg,F_2_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2722
cheese.jpg,butterfly.jpg,F_3_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2461
floor.jpg,thimble.jpg,F_4_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2692
man.jpg,beaver.jpg,F_5_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2480
city.jpg,flute.jpg,F_6_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2506
bar.jpg,artichoke.jpg,F_7_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2529
woman.jpg,slide.jpg,F_8_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2559
book.jpg,antlers.jpg,F_9_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2521
piano.jpg,razor.jpg,F_10_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2645
horse.jpg,iron.jpg,F_11_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2559
glass.jpg,zebra.jpg,F_12_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2772
boy.jpg,anvil.jpg,F_13_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2658
fire.jpg,binoculars.jpg,F_14_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2739
lips.jpg,safetypin.jpg,F_15_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2593
rock.jpg,recordplayer.jpg,F_16_HFF_N_sk.wav,filler,HFF,original,NA,groupB,native,NA,2636
